Robin_office_Shirlene,airTemperature,dewTemperature,hour,day_of_week,month,Robin_office_Shirlene_lag_1,Robin_office_Shirlene_lag_2,Robin_office_Shirlene_lag_3,Robin_office_Shirlene_lag_4,Robin_office_Shirlene_lag_24,Robin_office_Shirlene_lag_168,rolling_4_mean,rolling_4_std,rolling_24_mean,rolling_24_std,rolling_168_mean,rolling_168_std,load_gradient,load_volatility_4h,hour_sin,hour_cos,day_sin,day_cos,is_business_day,hours_since_work_start
16.0408,4.0,1.8,10,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,15.238760000000003,2.5362731745614475,15.238760000000003,2.5362731745614475,0.0,0.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,True,2
16.0408,5.4,1.9,11,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,15.311672727272729,2.4182415880514956,15.311672727272729,2.4182415880514956,0.0,0.0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,True,3
16.0408,7.0,4.4,12,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,15.372433333333333,2.3152900495042372,15.372433333333333,2.3152900495042372,0.0,0.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,True,4
16.0408,7.2,4.4,13,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,15.423846153846155,2.224458726902414,15.423846153846155,2.224458726902414,0.0,0.0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,True,5
16.0408,7.4,4.5,14,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,15.467914285714286,2.1435420646344086,15.467914285714286,2.1435420646344086,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,True,6
16.0408,7.5,5.6,15,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,15.50610666666667,2.070858375328131,15.50610666666667,2.070858375328131,0.0,0.0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,True,7
16.0408,7.6,6.7,16,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,15.539525000000001,2.0051,15.539525000000001,2.0051,0.0,0.0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,True,8
16.0408,8.0,7.1,17,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,15.569011764705882,1.945232727041405,15.569011764705882,1.945232727041405,0.0,0.0,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,True,9
16.0408,8.1,6.5,18,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,15.595222222222223,1.8904264092761953,15.595222222222223,1.8904264092761953,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,True,10
16.0408,8.1,6.3,19,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,15.61867368421053,1.8400059519354535,15.61867368421053,1.8400059519354535,0.0,0.0,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,True,11
16.0408,8.2,6.2,20,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,15.639780000000002,1.7934159606739313,15.639780000000002,1.7934159606739313,0.0,0.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,True,12
16.0408,8.5,6.1,21,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,15.658876190476192,1.7501947668487532,15.658876190476192,1.7501947668487532,0.0,0.0,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,True,13
16.0408,8.3,6.5,22,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,15.676236363636365,1.7099550254585378,15.676236363636365,1.7099550254585378,0.0,0.0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,True,14
16.0408,7.9,7.0,23,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,15.69208695652174,1.6723690065033623,15.69208695652174,1.6723690065033623,0.0,0.0,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,True,15
16.0204,8.1,7.4,0,5,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,15.706616666666667,1.6371572944181834,15.706616666666667,1.6371572944181834,-0.020400000000002194,0.01020000000034881,0.0,1.0,-0.9749279121818236,-0.2225209339563146,False,0
15.7704,8.2,7.7,1,5,1,16.0204,16.0408,16.0408,16.0408,16.0408,8.0204,16.0357,0.01020000000034881,16.03995,0.004164132562583505,15.719168,1.6039151803010032,-0.24999999999999822,0.13215036889848983,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,False,0
15.25,8.5,8.1,2,5,1,15.7704,16.0204,16.0408,16.0408,16.0408,8.0204,15.968100000000002,0.13215036889848983,16.028683333333337,0.0551711933866661,15.721138461538462,1.5715416316666695,-0.5204000000000004,0.3680726015340003,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,False,0
15.25,9.1,8.2,3,5,1,15.25,15.7704,16.0204,16.0408,16.0408,8.0204,15.770400000000002,0.3680726015340003,15.995733333333336,0.16812946012617075,15.703688888888891,1.5436884872412002,0.0,0.38634663192527857,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,False,0
15.5,9.3,8.3,4,5,1,15.25,15.25,15.7704,16.0204,16.0408,8.0204,15.572700000000001,0.38634663192527857,15.962783333333334,0.22633019293033538,15.687485714285716,1.5172564200664316,0.25,0.24828553454978736,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,False,0
16.0,9.6,8.4,5,5,1,15.5,15.25,15.25,15.7704,16.0408,8.0204,15.442600000000002,0.24828553454978736,15.94025,0.24442292107702343,15.681020689655174,1.4903229394471402,0.5,0.35355339059328333,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,False,0
15.75,9.7,8.4,6,5,1,16.0,15.5,15.25,15.25,16.0408,8.0204,15.500000000000002,0.35355339059328333,15.938550000000001,0.24383435039957216,15.691653333333335,1.4655598576543423,-0.25,0.3227486121839618,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,False,0
16.0,9.4,8.8,7,5,1,15.75,16.0,15.5,15.25,16.0408,8.0204,15.625000000000002,0.3227486121839618,15.926433333333335,0.24575012878348637,15.693535483870969,1.4409649511232363,0.25,0.23935677693909851,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,False,0
15.75,9.7,8.9,8,5,1,16.0,15.75,16.0,15.5,16.0408,8.0204,15.812500000000002,0.23935677693909851,15.924733333333336,0.24506475216485513,15.703112500000001,1.4185679420776158,-0.25,0.14433756729742978,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,False,0
15.25,9.9,9.1,9,5,1,15.75,16.0,15.75,16.0,16.0408,8.0204,15.875000000000002,0.14433756729742978,15.912616666666667,0.24626263757757758,15.704533333333332,1.396250749925194,-0.5,0.31457643480295877,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,False,0
16.0,9.8,9.4,10,5,1,15.25,15.75,16.0,15.75,16.0408,8.0204,15.687500000000002,0.31457643480295877,15.879666666666667,0.27908348550936607,15.691164705882352,1.3771406595886764,0.75,0.3535533905932835,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,False,0
16.25,9.9,9.6,11,5,1,16.0,15.25,15.75,16.0,16.0408,8.0204,15.750000000000002,0.3535533905932835,15.877966666666667,0.2781820965493255,15.699988571428571,1.3577413683743151,0.25,0.42695628191499135,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,False,0
15.75,10.1,9.5,12,5,1,16.25,16.0,15.25,15.75,16.0408,8.0204,15.812500000000002,0.42695628191499135,15.886683333333336,0.28665476837457743,15.715266666666666,1.341340530322451,-0.5,0.42695628191499135,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,False,0
16.5,10.0,9.6,13,5,1,15.75,16.25,16.0,15.25,16.0408,8.0204,15.812500000000002,0.42695628191499135,15.874566666666668,0.2860023451814231,15.716205405405406,1.3225919253802667,0.75,0.3227486121839621,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,False,0
15.75,10.0,9.8,14,5,1,16.5,15.75,16.25,16.0,16.0408,8.0204,16.125,0.3227486121839621,15.8937,0.31180304262675657,15.736831578947369,1.3107780413061596,-0.75,0.3750000000000093,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,False,0
15.75,10.2,10.2,15,5,1,15.75,16.5,15.75,16.25,16.0408,8.0204,16.0625,0.3750000000000093,15.881583333333333,0.3114882867037246,15.737169230769231,1.2934176950100775,0.0,0.3750000000000093,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,False,0
15.5,11.2,11.1,16,5,1,15.75,15.75,16.5,15.75,16.0408,8.0204,15.937500000000002,0.3750000000000093,15.869466666666668,0.31068050227323907,15.73749,1.2767293470185688,-0.25,0.4330127018922274,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,False,0
15.75,10.9,10.5,17,5,1,15.5,15.75,15.75,16.5,16.0408,8.0204,15.875000000000002,0.4330127018922274,15.846933333333334,0.31725583513551736,15.73169756097561,1.2612147026751241,0.25,0.12500000000002753,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,False,0
16.0,10.9,10.3,18,5,1,15.75,15.5,15.75,15.75,16.0408,8.0204,15.687500000000002,0.12500000000002753,15.834816666666669,0.3150753776847481,15.732133333333334,1.2457422907485116,0.25,0.20412414523194847,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,False,0
16.5,10.4,9.7,19,5,1,16.0,15.75,15.5,15.75,16.0408,8.0204,15.750000000000002,0.20412414523194847,15.833116666666669,0.3140239808990842,15.738362790697675,1.2315003619324052,0.5,0.42695628191499135,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,False,0
15.75,10.1,9.6,20,5,1,16.5,16.0,15.75,15.5,16.0408,8.0204,15.937500000000002,0.42695628191499135,15.85225,0.3401322875639368,15.755672727272726,1.2225004806892354,-0.75,0.35355339059328367,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,False,0
15.5,9.9,9.6,21,5,1,15.75,16.5,16.0,15.75,16.0408,8.0204,16.0,0.35355339059328367,15.840133333333334,0.3382981585199205,15.755546666666666,1.2085288836206827,-0.25,0.42695628191499135,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,False,0
15.5,9.9,9.0,22,5,1,15.5,15.75,16.5,16.0,16.0408,8.0204,15.937500000000002,0.42695628191499135,15.8176,0.3423377025813747,15.749991304347827,1.1956191812568797,0.0,0.47324236215003,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,False,0
16.0,10.0,9.2,23,5,1,15.5,15.5,15.75,16.5,16.0408,8.0204,15.812500000000002,0.47324236215003,15.795066666666669,0.34479690640529914,15.74467234042553,1.1831139931300174,0.5,0.239356776939099,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,False,0
15.5,9.7,9.2,0,6,1,16.0,15.5,15.5,15.75,16.0204,8.0204,15.687500000000002,0.239356776939099,15.79336666666667,0.3436312668198716,15.749991666666666,1.1710400468892765,-0.5,0.25000000000001377,0.0,1.0,-0.7818314824680299,0.6234898018587334,False,0
16.0,9.3,8.5,1,6,1,15.5,16.0,15.5,15.5,15.7704,8.0204,15.625000000000002,0.25000000000001377,15.771683333333335,0.345098105353881,15.744889795918366,1.1593277111191238,0.5,0.28867513459482497,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,False,0
